login,commits_in_window,merged_prs_in_window,bucket
QWERTIOX,0,0,Dormant
QuLogic,0,0,Dormant
Quadtree,0,0,Dormant
QueenOfSquiggles,0,0,Dormant
Querkc,0,0,Dormant
Quimisagi,0,0,Dormant
QuinnLeavitt,0,0,Dormant
Qwertie-,0,0,Dormant
R3tr0bs,0,0,Dormant
RPicster,0,0,Dormant
RTTEXFile,0,0,Dormant
RaTi17,0,0,Dormant
RaXaR,0,0,Dormant
RabbitB,0,0,Dormant
RafaelRain18,0,0,Dormant
Raidenkyu,0,0,Dormant
RajatGoswami,0,0,Dormant
RameshRavone,0,0,Dormant
RandomCatDude,0,0,Dormant
Ranoller,0,0,Dormant
Raphael2048,0,0,Dormant
RaphaelAzev,0,0,Dormant
Rastrizh,0,0,Dormant
Ratamacue9112,0,0,Dormant
Ratio2,0,0,Dormant
Rattle22,0,0,Dormant
Raventara,0,0,Dormant
RayKoopa,0,0,Dormant
Razoric480,0,0,Dormant
Razzlegames,0,0,Dormant
ReadmeCritic,0,0,Dormant
RealMadvicius,0,0,Dormant
RebelliousX,0,0,Dormant
RechieKho,0,0,Dormant
RedHeadphone,0,0,Dormant
RedOrbweaver,0,0,Dormant
RedwanFox,0,0,Dormant
Redwarx008,0,0,Dormant
RegalMedia,0,0,Dormant
Relintai,0,0,Dormant
Remi123,0,0,Dormant
RevenantX,0,0,Dormant
RevoluPowered,0,0,Dormant
RexMaHaoXuan,0,0,Dormant
ReyAnthony,0,0,Dormant
Rgtemze,0,0,Dormant
Rhathe,0,0,Dormant
RicardRC,0,0,Dormant
RichyHBM,0,0,Dormant
Riordan-DC,0,0,Dormant
RisingThumb,0,0,Dormant
RiverMesa,0,0,Dormant
RobKohr,0,0,Dormant
RobTheFiveNine,0,0,Dormant
RobertBColton,0,0,Dormant
RobertMGardner,0,0,Dormant
RobertMasek,0,0,Dormant
Robocraft999,0,0,Dormant
RodZill4,0,0,Dormant
Rodeo-McCabe,0,0,Dormant
Roemer,0,0,Dormant
RolandMQuiros,0,0,Dormant
RonYanDaik,0,0,Dormant
RoniPerson,0,0,Dormant
RootKiller,0,0,Dormant
RoyBerube,0,0,Dormant
RozzaysRed,0,0,Dormant
Rudigus,0,0,Dormant
RumblingTurtle,0,0,Dormant
RustyRoboticsBV,0,0,Dormant
RuthgerD,0,0,Dormant
RySchmitt,0,0,Dormant
RyanStein,0,0,Dormant
Rycerzyk,0,0,Dormant
Rynzier,0,0,Dormant
S0yKaf,0,0,Dormant
SAL778,0,0,Dormant
SASUPERNOVA,0,0,Dormant
SBoo9,0,0,Dormant
SIsilicon,0,0,Dormant
SPTelur,0,0,Dormant
Saadbadran,0,0,Dormant
SadmanSyfe,0,0,Dormant
Saenoe,0,0,Dormant
Sai-Suraj-27,0,0,Dormant
Sam-Ajami,0,0,Dormant
SamDevelopsCode,0,0,Dormant
SamiKalliomaki,0,0,Dormant
SamuelDeboni,0,0,Dormant
Santoss1809,0,0,Dormant
Saplonily,0,0,Dormant
Sarfraz-droid,0,0,Dormant
SavoVuksan,0,0,Dormant
Sawrr,0,0,Dormant
Schmetzler,0,0,Dormant
Schmowser,0,0,Dormant
Schroedi,0,0,Dormant
Schweini07,0,0,Dormant
Scipi,0,0,Dormant
Scony,0,0,Dormant
ScorpionInc,0,0,Dormant
ScotFlux,0,0,Dormant
ScottVMariotte,0,0,Dormant
ScyDev,0,0,Dormant
SecretPanda420,0,0,Dormant
SekoiaTree,0,0,Dormant
SeleDreams,0,0,Dormant
Selene29,0,0,Dormant
SeremTitus,0,0,Dormant
Setadokalo,0,0,Dormant
ShadedLamp,0,0,Dormant
ShadowApex,0,0,Dormant
ShadowKyogre,0,0,Dormant
ShadyChibinko,0,0,Dormant
Shaidak,0,0,Dormant
ShalokShalom,0,0,Dormant
Shatur,0,0,Dormant
Shawak,0,0,Dormant
Sheep26,0,0,Dormant
Sheepy3,0,0,Dormant
ShimmyShaman,0,0,Dormant
Shin-NiL,0,0,Dormant
Shinryuuji,0,0,Dormant
ShirenY,0,0,Dormant
ShlomiRex,0,0,Dormant
Shnazzy,0,0,Dormant
Shockblast,0,0,Dormant
Shou,0,0,Dormant
ShyRed,0,0,Dormant
SiENcE,0,0,Dormant
SiddharthChillale,0,0,Dormant
SilicDev,0,0,Dormant
SimonSikstrom,0,0,Dormant
SimplyBLGDev,0,0,Dormant
SinhtUp,0,0,Dormant
Sinowa-Programming,0,0,Dormant
Sintinium,0,0,Dormant
Sipaha,0,0,Dormant
SirLich,0,0,Dormant
SirPaws,0,0,Dormant
SirPigeonz,0,0,Dormant
SirQuartz,0,0,Dormant
SirUppyPancakes,0,0,Dormant
SiyuanHong,0,0,Dormant
Skrapion,0,0,Dormant
SkyLucilfer,0,0,Dormant
Skyfrit,0,0,Dormant
SkylerGoh-dev,0,0,Dormant
Sl3dge78,0,0,Dormant
SleeeepyZhou,0,0,Dormant
SleepProgger,0,0,Dormant
SlienCode,0,0,Dormant
Sluggernot,0,0,Dormant
SmashedFrenzy16,0,0,Dormant
Smjert,0,0,Dormant
SnirBroshi,0,0,Dormant
Snowapril,0,0,Dormant
SoWhich,0,0,Dormant
Sogomn,0,0,Dormant
SommAid,0,0,Dormant
SonarShroom,0,0,Dormant
SonnyBonds,0,0,Dormant
Souchy,0,0,Dormant
SoulForMachine,0,0,Dormant
Soupstraw,0,0,Dormant
SouzaGuilherme,0,0,Dormant
Spacebear9,0,0,Dormant
SpaghettiCoder01,0,0,Dormant
SpechtMagnus,0,0,Dormant
SpectralDragon,0,0,Dormant
Split82,0,0,Dormant
Sposito,0,0,Dormant
Spycemyster,0,0,Dormant
Squeeshy123,0,0,Dormant
SquiggelSquirrel,0,0,Dormant
Srogozins,0,0,Dormant
Stabington,0,0,Dormant
Stacy1256,0,0,Dormant
StagnationPoint,0,0,Dormant
Stalker2106,0,0,Dormant
StamesJames,0,0,Dormant
StefanH-AT,0,0,Dormant
StefanoPetrilli,0,0,Dormant
Step-an,0,0,Dormant
StraToN,0,0,Dormant
Straskal,0,0,Dormant
StrawbDev,0,0,Dormant
Streq,0,0,Dormant
Stronkkey,0,0,Dormant
SubSage,0,0,Dormant
SuddenlyNothing,0,0,Dormant
SuperUserNameMan,0,0,Dormant
Superwaitsum,0,0,Dormant
Supreeeme,0,0,Dormant
Susu12222,0,0,Dormant
Swarkin,0,0,Dormant
SylvanSign,0,0,Dormant
SysError99,0,0,Dormant
SystemFail,0,0,Dormant
Sythelux,0,0,Dormant
T4g1,0,0,Dormant
TGRCdev,0,0,Dormant
TLAliceDev,0,0,Dormant
TML233,0,0,Dormant
TON14,0,0,Dormant
Tabas32,0,0,Dormant
Tadaboody,0,0,Dormant
TailyFair,0,0,Dormant
Tallivm,0,0,Dormant
TamplierS1,0,0,Dormant
TapGhoul,0,0,Dormant
Taywee,0,0,Dormant
TeTpaAka,0,0,Dormant
Teashrock,0,0,Dormant
TechnicalSoup,0,0,Dormant
TechnoPorg,0,0,Dormant
Technohacker,0,0,Dormant
TedSpikes,0,0,Dormant
Tefatika,0,0,Dormant
Tegu,0,0,Dormant
Teknologicus,0,0,Dormant
TerminalJack,0,0,Dormant
Ternvein,0,0,Dormant
TerraAr,0,0,Dormant
Terseus,0,0,Dormant
TestSubject06,0,0,Dormant
Tetane,0,0,Dormant
Th0rDaW,0,0,Dormant
ThaBalla1148,0,0,Dormant
Thaina,0,0,Dormant
ThakeeNathees,0,0,Dormant
The-O-King,0,0,Dormant
TheCire,0,0,Dormant
TheColorRed,0,0,Dormant
TheDevelo,0,0,Dormant
TheDuriel,0,0,Dormant
TheFlamyy,0,0,Dormant
TheJosh,0,0,Dormant
TheKK,0,0,Dormant
TheKiromen,0,0,Dormant
TheMonsterFromTheDeep,0,0,Dormant
TheOrangeDay,0,0,Dormant
TheOrioli,0,0,Dormant
TheRealChestnut,0,0,Dormant
TheSecondReal0,0,0,Dormant
TheTophatDemon,0,0,Dormant
TheWathis,0,0,Dormant
TheWizardToucan,0,0,Dormant
TheoXD,0,0,Dormant
ThisisnotTeo,0,0,Dormant
Thomas-X,0,0,Dormant
Thource,0,0,Dormant
ThreeRhinosInAnElephantCostume,0,0,Dormant
TiZ-HugLife,0,0,Dormant
TiagoBarbosa98,0,0,Dormant
TierraDelFuego,0,0,Dormant
TigranExe,0,0,Dormant
TilakChad,0,0,Dormant
Tim-Fronsee,0,0,Dormant
Timofffee,0,0,Dormant
TitanNano,0,0,Dormant
Togira123,0,0,Dormant
Toizi,0,0,Dormant
TokisanGames,0,0,Dormant
Tom3s,0,0,Dormant
TomBedfordCodes,0,0,Dormant
TontonSancho,0,0,Dormant
Tony-Goat,0,0,Dormant
TormentorMaharaj,0,0,Dormant
Toshiwoz,0,0,Dormant
Trantarius,0,0,Dormant
Trashtalk217,0,0,Dormant
Treer,0,0,Dormant
TrevorPeyton,0,0,Dormant
TriggerCoder,0,0,Dormant
Trille0,0,0,Dormant
Trinovantes,0,0,Dormant
Trioct,0,0,Dormant
TritiatedWater,0,0,Dormant
TsFreddie,0,0,Dormant
Tugsav,0,0,Dormant
Tunous,0,0,Dormant
TurqW,0,0,Dormant
TurtleKwitty,0,0,Dormant
TwistedTwigleg,0,0,Dormant
TyounanMOTI,0,0,Dormant
TypeOverride,0,0,Dormant
TypeOverride2,0,0,Dormant
Ughuuu,0,0,Dormant
UgisBrekis,0,0,Dormant
Undid-Iridium,0,0,Dormant
Unholydeath,0,0,Dormant
Unkorunk,0,0,Dormant
UpwindSpring01,0,0,Dormant
Uxeron,0,0,Dormant
Valentactive,0,0,Dormant
Valeryn4,0,0,Dormant
VansonLeung,0,0,Dormant
VedatGunel,0,0,Dormant
Vedurumudi-Priyanka,0,0,Dormant
Vega-KH,0,0,Dormant
Vennnot,0,0,Dormant
Veradictus,0,0,Dormant
Vercix,0,0,Dormant
VictorKarp,0,0,Dormant
VikramSGIT,0,0,Dormant
ViktorEvil,0,0,Dormant
Vilcrow,0,0,Dormant
VincentShao32,0,0,Dormant
Vinealius,0,0,Dormant
VinegarLove,0,0,Dormant
VitikaSoni,0,0,Dormant
Vivraan,0,0,Dormant
Vlad-Zumer,0,0,Dormant
Voklen,0,0,Dormant
Vsono,0,0,Dormant
Vultraz,0,0,Dormant
W4RH4WK,0,0,Dormant
WalasPrime,0,0,Dormant
Wanfanel,0,0,Dormant
Waranoi,0,0,Dormant
Waridley,0,0,Dormant
Warlaan,0,0,Dormant
WatIsDeze,0,0,Dormant
WatchThemFall,0,0,Dormant
Watunder,0,0,Dormant
Wavesonics,0,0,Dormant
WeaselShoppe,0,0,Dormant
WebFreak001,0,0,Dormant
WellHiIGuess,0,0,Dormant
Welteam,0,0,Dormant
WesleyElliott,0,0,Dormant
Whimfoome,0,0,Dormant
WiggleWizard,0,0,Dormant
WilliamTambellini,0,0,Dormant
Willowblade,0,0,Dormant
Wiltof,0,0,Dormant
Windfisch,0,0,Dormant
WinstonHartnett,0,0,Dormant
WiseNoodle,0,0,Dormant
Withaust,0,0,Dormant
Wiwip,0,0,Dormant
WizardOhio24,0,0,Dormant
WoLfulus,0,0,Dormant
WolfWitcher,0,0,Dormant
Wolfyxon,0,0,Dormant
WombelBat,0,0,Dormant
WorkShoft,0,0,Dormant
Wuqiqi123,0,0,Dormant
Wyxaldir,0,0,Dormant
XPhyro,0,0,Dormant
Xartorx,0,0,Dormant
Xeadriel,0,0,Dormant
Xenoamor,0,0,Dormant
XenokNyx,0,0,Dormant
Xenoparrot,0,0,Dormant
Xenthera,0,0,Dormant
Xgor,0,0,Dormant
Xinhao0709,0,0,Dormant
Xioor,0,0,Dormant
Xrayez,0,0,Dormant
XutaxKamay,0,0,Dormant
Xwdit,0,0,Dormant
YLL,0,0,Dormant
Yadnesh-Kulkarni,0,0,Dormant
Yagich,0,0,Dormant
YakoYakoYokuYoku,0,0,Dormant
Yanpas,0,0,Dormant
Yar-Mukhamedov,0,0,Dormant
Ybalrid,0,0,Dormant
Yeryomin1,0,0,Dormant
Yetizone,0,0,Dormant
Yharooer,0,0,Dormant
Ymanawat,0,0,Dormant
Yukitty,0,0,Dormant
YuriSizov,0,0,Dormant
Yuzabotov,0,0,Dormant
Yxure,0,0,Dormant
ZX-WT,0,0,Dormant
Zacxalot,0,0,Dormant
ZahFox,0,0,Dormant
ZakharE,0,0,Dormant
Zamaroht,0,0,Dormant
Zami77,0,0,Dormant
ZangEldor,0,0,Dormant
Zaxuhe,0,0,Dormant
ZeferinoI,0,0,Dormant
Zephilinox,0,0,Dormant
ZerxZ,0,0,Dormant
ZheisterCoding,0,0,Dormant
Zirak,0,0,Dormant
Zireael07,0,0,Dormant
ZodmanPerth,0,0,Dormant
Zoomulator,0,0,Dormant
Zorvalt,0,0,Dormant
ZuBsPaCe,0,0,Dormant
ZycaR,0,0,Dormant
a-ivanov,0,0,Dormant
a12n,0,0,Dormant
aareynolds,0,0,Dormant
aarroz,0,0,Dormant
abaire,0,0,Dormant
abarichello,0,0,Dormant
abe33,0,0,Dormant
abhaskumarsinha,0,0,Dormant
abitrolly,0,0,Dormant
abmyii,0,0,Dormant
abrenneke,0,0,Dormant
abueide,0,0,Dormant
aburg,0,0,Dormant
abustin,0,0,Dormant
acazuc,0,0,Dormant
accidentalrebel,0,0,Dormant
acdpsn,0,0,Dormant
achernik,0,0,Dormant
acmepjz,0,0,Dormant
acmorrow,0,0,Dormant
adam-bates,0,0,Dormant
adamreichold,0,0,Dormant
addmix,0,0,Dormant
adeneve,0,0,Dormant
aditikatoch,0,0,Dormant
adolson,0,0,Dormant
aekobear,0,0,Dormant
aemreaydin,0,0,Dormant
aengus126,0,0,Dormant
afauchille,0,0,Dormant
afeener2016,0,0,Dormant
afestini,0,0,Dormant
againey,0,0,Dormant
aganm,0,0,Dormant
ageazrael,0,0,Dormant
agmcleod,0,0,Dormant
agusbena,0,0,Dormant
ahopness,0,0,Dormant
ahouts,0,0,Dormant
aitorciki,0,0,Dormant
ajacobsen,0,0,Dormant
ajamesonwright,0,0,Dormant
ajweeks,0,0,Dormant
akerudesu,0,0,Dormant
akuspel,0,0,Dormant
alan-j-hu,0,0,Dormant
alan-w-255,0,0,Dormant
alanjian85,0,0,Dormant
albertomjp10,0,0,Dormant
albinaask,0,0,Dormant
alcroito,0,0,Dormant
aleksrutins,0,0,Dormant
alesliehughes,0,0,Dormant
alessandrofama,0,0,Dormant
alex-karev,0,0,Dormant
alex-pahdo,0,0,Dormant
alexbilledeaux,0,0,Dormant
alexchond,0,0,Dormant
alexdlm,0,0,Dormant
alexey-makarenko,0,0,Dormant
alexpech12,0,0,Dormant
alfansuffa05,0,0,Dormant
alfredbaudisch,0,0,Dormant
algorev,0,0,Dormant
aligator,0,0,Dormant
alimalkhalifa,0,0,Dormant
aljen,0,0,Dormant
alliephante,0,0,Dormant
allkhor,0,0,Dormant
alula,0,0,Dormant
alvaroHernandez,0,0,Dormant
alvinhochun,0,0,Dormant
amagnoni,0,0,Dormant
amanj120,0,0,Dormant
amanreddy77,0,0,Dormant
amatrelan,0,0,Dormant
ambientenergy102,0,0,Dormant
amifelipek,0,0,Dormant
amoriqbal,0,0,Dormant
amuTBKT,0,0,Dormant
ana-rchy,0,0,Dormant
anakimluke,0,0,Dormant
ananas030,0,0,Dormant
anazr9,0,0,Dormant
and3md,0,0,Dormant
and3rson,0,0,Dormant
andrea-calligaris,0,0,Dormant
andreasfix,0,0,Dormant
andrei-g99,0,0,Dormant
andriyDev,0,0,Dormant
andy-noisyduck,0,0,Dormant
andycodesstuff,0,0,Dormant
andyprice,0,0,Dormant
angad-k,0,0,Dormant
angel-721,0,0,Dormant
anissen,0,0,Dormant
ankitpriyarup,0,0,Dormant
anneomcl,0,0,Dormant
anniryynanen,0,0,Dormant
anoadragon453,0,0,Dormant
anrp,0,0,Dormant
antarktikali,0,0,Dormant
anthonyec,0,0,Dormant
antonWetzel,0,0,Dormant
antonandrosov338,0,0,Dormant
antoniocarreiro,0,0,Dormant
antonyjones67,0,0,Dormant
anunknowperson,0,0,Dormant
anuragdaksh7,0,0,Dormant
anvilbearryan,0,0,Dormant
aole,0,0,Dormant
apezel,0,0,Dormant
aqfranco,0,0,Dormant
aqnuep,0,0,Dormant
aragar,0,0,Dormant
arcanis,0,0,Dormant
arccoza,0,0,Dormant
archsolar,0,0,Dormant
argentite,0,0,Dormant
arguiot,0,0,Dormant
argylelabcoat,0,0,Dormant
arlo-phoenix,0,0,Dormant
armanpapikyan,0,0,Dormant
armedpotato,0,0,Dormant
arnav784,0,0,Dormant
aroncds,0,0,Dormant
arrowinaknee,0,0,Dormant
arthurpaulino,0,0,Dormant
asalazar516,0,0,Dormant
aseiis,0,0,Dormant
ash1247,0,0,Dormant
ashish0kumar,0,0,Dormant
ashishdaulatabad,0,0,Dormant
ashishpatelcs,0,0,Dormant
asmaloney,0,0,Dormant
astillich,0,0,Dormant
aswinmohanme,0,0,Dormant
asynts,0,0,Dormant
aterlamia,0,0,Dormant
atirut-w,0,0,Dormant
atlas-wheatear,0,0,Dormant
atngames,0,0,Dormant
atomicBlaze21,0,0,Dormant
ator-dev,0,0,Dormant
attilix,0,0,Dormant
austinried,0,0,Dormant
authenticate,0,0,Dormant
autoit4you,0,0,Dormant
avilches,0,0,Dormant
avivkeller,0,0,Dormant
avril-gh,0,0,Dormant
awaitlink,0,0,Dormant
awardell,0,0,Dormant
awsker,0,0,Dormant
ayanchavand,0,0,Dormant
ayuusweetfish,0,0,Dormant
azagaya,0,0,Dormant
azuloo,0,0,Dormant
azurvii,0,0,Dormant
b1skit,0,0,Dormant
backwardspy,0,0,Dormant
badlogic,0,0,Dormant
badrazizi,0,0,Dormant
baekdahl,0,0,Dormant
balloonpopper,0,0,Dormant
baptr,0,0,Dormant
bartekd97,0,0,Dormant
basilicon,0,0,Dormant
basta,0,0,Dormant
bbbscarter,0,0,Dormant
bbeco,0,0,Dormant
bcmpinc,0,0,Dormant
bcr3ative,0,0,Dormant
bcsmith2846,0,0,Dormant
bd339,0,0,Dormant
bdero,0,0,Dormant
bdunks,0,0,Dormant
beaslekr,0,0,Dormant
beev1s,0,0,Dormant
begah2,0,0,Dormant
beiller,0,0,Dormant
belzecue,0,0,Dormant
bemyak,0,0,Dormant
ben-humphries,0,0,Dormant
benbot,0,0,Dormant
benbusby,0,0,Dormant
bend-n,0,0,Dormant
bengtsts,0,0,Dormant
beniwtv,0,0,Dormant
benjaminstammen,0,0,Dormant
benjarmstrong,0,0,Dormant
benthillerkus,0,0,Dormant
bergmannf,0,0,Dormant
berrybus,0,0,Dormant
besh81,0,0,Dormant
beyarkay,0,0,Dormant
bfloch,0,0,Dormant
bgaudiosi,0,0,Dormant
bgie,0,0,Dormant
bibby,0,0,Dormant
bikemurt,0,0,Dormant
bil-bas,0,0,Dormant
bill8224,0,0,Dormant
billuo,0,0,Dormant
binarydigitz01,0,0,Dormant
binbitten,0,0,Dormant
biswas08433,0,0,Dormant
bitbionic,0,0,Dormant
bitbrain,0,0,Dormant
bitbutter,0,0,Dormant
bitnom,0,0,Dormant
bitsawer,0,0,Dormant
bitstopper,0,0,Dormant
bitsycore,0,0,Dormant
bitwise-aiden,0,0,Dormant
bjauny,0,0,Dormant
bkadezabek,0,0,Dormant
bkeys,0,0,Dormant
bkmeneguello,0,0,Dormant
blackbird806,0,0,Dormant
blitzboah,0,0,Dormant
blooblahguy,0,0,Dormant
blueloveTH,0,0,Dormant
bluenote10,0,0,Dormant
bluetarpmedia,0,0,Dormant
bmolyneaux,0,0,Dormant
bmwiedemann,0,0,Dormant
bncastle,0,0,Dormant
bnpfeife,0,0,Dormant
bobby-the-epic,0,0,Dormant
bojidar-bg,0,0,Dormant
bombzj,0,0,Dormant
bonjorno7,0,0,Dormant
boruok,0,0,Dormant
bowtoes,0,0,Dormant
bpopp93,0,0,Dormant
bpseudopod,0,0,Dormant
bpseudopod-returns,0,0,Dormant
bqqbarbhg,0,0,Dormant
br1trs,0,0,Dormant
bradc6,0,0,Dormant
brainsick,0,0,Dormant
brakhane,0,0,Dormant
bramhaag,0,0,Dormant
brandonlamb,0,0,Dormant
brandtware,0,0,Dormant
brendaw,0,0,Dormant
brendor,0,0,Dormant
brennengreen,0,0,Dormant
brenttaylor,0,0,Dormant
brettchalupa,0,0,Dormant
briansemrau,0,0,Dormant
brianwinterpixel,0,0,Dormant
brndel,0,0,Dormant
brno32,0,0,Dormant
bronsonholden,0,0,Dormant
broquaint,0,0,Dormant
bruce965,0,0,Dormant
bruno-ortiz,0,0,Dormant
bruno-ortizgb,0,0,Dormant
brunosxs,0,0,Dormant
brylie,0,0,Dormant
bscranton,0,0,Dormant
bswan,0,0,Dormant
buckle2000,0,0,Dormant
bugcaptor,0,0,Dormant
bugfi5h,0,0,Dormant
bugstew,0,0,Dormant
busy8,0,0,Dormant
butkeim,0,0,Dormant
bvbfan,0,0,Dormant
bwzuk,0,0,Dormant
byfron,0,0,Dormant
bypie5,0,0,Dormant
bzztbomb,0,0,Dormant
cabinboy1031,0,0,Dormant
cagdasc,0,0,Dormant
cajallen,0,0,Dormant
caleb-vincent,0,0,Dormant
calsbrook,0,0,Dormant
camren-m,0,0,Dormant
caospacifico,0,0,Dormant
capnm,0,0,Dormant
caprapaul,0,0,Dormant
captainwasabi,0,0,Dormant
cariad,0,0,Dormant
carlbeet,0,0,Dormant
carlosfvieira,0,0,Dormant
cart,0,0,Dormant
caryoscelus,0,0,Dormant
caseyjoy,0,0,Dormant
caspervonb,0,0,Dormant
cassidyjames,0,0,Dormant
cbolgiano,0,0,Dormant
cbscribe,0,0,Dormant
ccl2of4,0,0,Dormant
cdemirer,0,0,Dormant
cdoise-vbg,0,0,Dormant
ceLoFaN,0,0,Dormant
cesarizu,0,0,Dormant
cesarpinho,0,0,Dormant
cg9999,0,0,Dormant
cgarciaromaguera,0,0,Dormant
cgodley,0,0,Dormant
cgsdev0,0,0,Dormant
cgxeiji,0,0,Dormant
chachi85,0,0,Dormant
chaltu-dagne,0,0,Dormant
chanon,0,0,Dormant
chaosdrop,0,0,Dormant
char0xff,0,0,Dormant
charasyn,0,0,Dormant
charles-l,0,0,Dormant
charlieb,0,0,Dormant
cheece,0,0,Dormant
chenjie199234,0,0,Dormant
chewiegoron,0,0,Dormant
chfoo,0,0,Dormant
chiguireitor,0,0,Dormant
chjhong,0,0,Dormant
choikwa,0,0,Dormant
chokomancarr,0,0,Dormant
choneface,0,0,Dormant
chongdashu,0,0,Dormant
choonway,0,0,Dormant
choqueneevan125,0,0,Dormant
chris-prenissl,0,0,Dormant
chrisb123,0,0,Dormant
chrisdoble,0,0,Dormant
chrisl8,0,0,Dormant
christinoleo,0,0,Dormant
christopherdalmas,0,0,Dormant
chronos38,0,0,Dormant
chryan,0,0,Dormant
chungd87,0,0,Dormant
chutchinson,0,0,Dormant
chutchinson-dynics,0,0,Dormant
chybby,0,0,Dormant
cimpresovec,0,0,Dormant
citizenll,0,0,Dormant
cj-dimaggio,0,0,Dormant
cjmxp,0,0,Dormant
clairelevin,0,0,Dormant
clktmr,0,0,Dormant
clofresh,0,0,Dormant
clowd81,0,0,Dormant
clubby789,0,0,Dormant
cmd410,0,0,Dormant
cmourglia,0,0,Dormant
cnk16,0,0,Dormant
code-xD,0,0,Dormant
codecat,0,0,Dormant
codecustard,0,0,Dormant
codedevmdu,0,0,Dormant
codeinclined,0,0,Dormant
codepatzer,0,0,Dormant
codetorex,0,0,Dormant
codingHahn,0,0,Dormant
codx,0,0,Dormant
cody82,0,0,Dormant
coldblue67,0,0,Dormant
compmstr,0,0,Dormant
conankzhang,0,0,Dormant
conorlawton,0,0,Dormant
conradhappeliv,0,0,Dormant
conspiracy0,0,0,Dormant
constantitus,0,0,Dormant
cooperra,0,0,Dormant
coppolaemilio,0,0,Dormant
copytime,0,0,Dormant
corjohnson,0,0,Dormant
corrigentia,0,0,Dormant
corwinkuiper,0,0,Dormant
cosformula,0,0,Dormant
cosparks,0,0,Dormant
coumcashier,0,0,Dormant
covariantlabs,0,0,Dormant
cozybuild,0,0,Dormant
cptchuckles,0,0,Dormant
craftablescience,0,0,Dormant
crashfort,0,0,Dormant
crasy1,0,0,Dormant
crazyStewie,0,0,Dormant
creadicted,0,0,Dormant
credman0,0,0,Dormant
creikey,0,0,Dormant
cridenour,0,0,Dormant
crr0004,0,0,Dormant
cryptonaut,0,0,Dormant
cschoenig,0,0,Dormant
cshultz117,0,0,Dormant
csstej,0,0,Dormant
cstaavetti,0,0,Dormant
cuchalin,0,0,Dormant
culot,0,0,Dormant
cuong0993,0,0,Dormant
curious-broccoli,0,0,Dormant
curlyapollo,0,0,Dormant
curtisxk38,0,0,Dormant
cverdes,0,0,Dormant
cvs0,0,0,Dormant
cxong,0,0,Dormant
cyanff,0,0,Dormant
cyanglaz,0,0,Dormant
cybereality,0,0,Dormant
cycastic-cumberland,0,0,Dormant
czarnota,0,0,Dormant
d-j-a-y,0,0,Dormant
d-robbins,0,0,Dormant
d0mmi,0,0,Dormant
dAmihl,0,0,Dormant
daBlesr,0,0,Dormant
dakennedyd,0,0,Dormant
dallonf,0,0,Dormant
damarindra,0,0,Dormant
damianday,0,0,Dormant
damon-myers,0,0,Dormant
danboo,0,0,Dormant
danemadsen,0,0,Dormant
danger-dan,0,0,Dormant
daniel-abbott,0,0,Dormant
daniel-mcclintock,0,0,Dormant
danielkariv,0,0,Dormant
danielkulas,0,0,Dormant
danielryb,0,0,Dormant
danielspaniol,0,0,Dormant
danielzting,0,0,Dormant
dankan1890,0,0,Dormant
danny88881,0,0,Dormant
dannygaray60,0,0,Dormant
danroncancio,0,0,Dormant
dantheman3333,0,0,Dormant
danvalho,0,0,Dormant
dardanbujupaj,0,0,Dormant
dariomnz,0,0,Dormant
dark-ether,0,0,Dormant
darkclif,0,0,Dormant
darkfoxprime,0,0,Dormant
darkoff9,0,0,Dormant
darrylryan,0,0,Dormant
darthLeviN,0,0,Dormant
darthdeus,0,0,Dormant
daustria,0,0,Dormant
davcri,0,0,Dormant
davi2205,0,0,Dormant
davide-baldo,0,0,Dormant
davids91,0,0,Dormant
daviirodrig,0,0,Dormant
davnotdev,0,0,Dormant
dawikur,0,0,Dormant
daxum,0,0,Dormant
dazKind,0,0,Dormant
dbidwell94,0,0,Dormant
dbsGen,0,0,Dormant
dbu,0,0,Dormant
dcaoc03,0,0,Dormant
ddevault,0,0,Dormant
deakcor,0,0,Dormant
decacis,0,0,Dormant
dedm0zaj,0,0,Dormant
deepmax,0,0,Dormant
define-private-public,0,0,Dormant
deliciousfudge,0,0,Dormant
demolitions,0,0,Dormant
demonpig,0,0,Dormant
denisw,0,0,Dormant
dennisseong,0,0,Dormant
densevoid,0,0,Dormant
dependabot[bot],0,0,Dormant
deppong,0,0,Dormant
derammo,0,0,Dormant
derderder77,0,0,Dormant
derivator,0,0,Dormant
dertom95,0,0,Dormant
dervus,0,0,Dormant
devin-liang,0,0,Dormant
devnexen,0,0,Dormant
devolonter,0,0,Dormant
dewolen,0,0,Dormant
dfelinto,0,0,Dormant
dfleury2,0,0,Dormant
dhoverml,0,0,Dormant
dicarne,0,0,Dormant
didier-v,0,0,Dormant
didito,0,0,Dormant
diegoaichele,0,0,Dormant
dimkKy,0,0,Dormant
dinoplane,0,0,Dormant
diogocarneiro,0,0,Dormant
dioptryk,0,0,Dormant
diowonderland,0,0,Dormant
disks86,0,0,Dormant
ditiem,0,0,Dormant
ditiem-games,0,0,Dormant
divshekhar,0,0,Dormant
djgaspa,0,0,Dormant
djhert,0,0,Dormant
djrm,0,0,Dormant
dkaste,0,0,Dormant
dkotfis,0,0,Dormant
dkrutskikh,0,0,Dormant
dlasalle,0,0,Dormant
dlnsk,0,0,Dormant
dmarierStingray,0,0,Dormant
dmaz,0,0,Dormant
dmchurch,0,0,Dormant
