login,commits_in_window,merged_prs_in_window,bucket
bs-mwoerner,1,1,Occasional
btgs-0,2,2,Newcomer
buresu,3,3,Occasional
cadence-s,2,2,Newcomer
caimantilla,1,1,Occasional
caleb98,1,1,Newcomer
carsonetb,1,1,Newcomer
celyk,1,1,Newcomer
cherrythecool,1,0,Occasional
chocola-mint,5,4,Occasional
chsoen,1,1,Newcomer
cier,1,0,Occasional
cixil,1,0,Occasional
ckaiser,2,1,Occasional
clayjohn,145,85,Frequent
colinator27,1,1,Newcomer
corngood,0,1,Newcomer
crei0,1,1,Newcomer
cruglet,1,1,Newcomer
dagarsar,7,8,Newcomer
dalexeev,45,30,Frequent
daniel080400,4,4,Newcomer
darksylinc,21,21,Frequent
davthedev,1,0,Occasional
dawdle-deer,1,1,Newcomer
dbnicholson,3,3,Occasional
dementive,2,2,Newcomer
demolke,7,6,Occasional
deralmas,23,21,Frequent
detomon,3,1,Occasional
devloglogan,15,15,Occasional
dmlary,2,2,Newcomer
dogboydog,1,1,Occasional
drakeerv,1,1,Newcomer
dsmtE,1,0,Occasional
dsnopek,74,76,Frequent
ducklin5,1,1,Occasional
dugramen,17,17,Newcomer
dustdfg,20,19,Frequent
ebeem,1,1,Newcomer
ecosky,1,1,Newcomer
edwin0cheng,1,1,Newcomer
elenakrittik,1,1,Occasional
elpozewaunig,2,1,Occasional
elzewyr,1,1,Newcomer
emanvidmaker,1,1,Occasional
erodozer,2,2,Newcomer
esainane,1,1,Occasional
etherealxx,2,2,Newcomer
etodd,1,0,Occasional
ev13bird,1,1,Occasional
eviltrout,2,2,Newcomer
eyalzus12,1,1,Newcomer
fLindahl,1,1,Newcomer
fire,9,8,Occasional
fkeyzuwu,1,1,Occasional
fstxz,9,9,Occasional
funkysandwich,1,1,Newcomer
fuzzybinary,1,1,Occasional
gelvinp,1,1,Occasional
geowarin,1,1,Occasional
ghost,0,3,Occasional
gio3k,1,1,Occasional
girdenis-p,2,2,Newcomer
goatchurchprime,2,2,Newcomer
gofastlily,1,1,Newcomer
gongpha,3,3,Occasional
gr8alpaca,1,1,Newcomer
groud,5,5,Occasional
gtibo,2,2,Newcomer
h1v9,4,3,Newcomer
hakro,5,4,Occasional
harrisyu,1,1,Occasional
havi05,15,13,Occasional
hayahane,1,1,Occasional
hexog,1,1,Newcomer
heyitszackb,0,1,Newcomer
hhhapz,1,0,Occasional
hpvb,18,17,Occasional
hunterloftis,1,1,Newcomer
huwpascoe,4,4,Occasional
ialex32x,1,1,Occasional
ibrahn,3,3,Occasional
illlustr,0,2,Newcomer
ivanskorikov,0,1,Newcomer
j20001970,3,2,Occasional
jadeharley2,1,1,Newcomer
jamesmintram,1,1,Occasional
jamie-pate,5,5,Occasional
jasonmorgado,1,1,Newcomer
jasonweiler,0,1,Newcomer
jaydensipe,15,16,Newcomer
jburt137,1,1,Newcomer
jcostello,1,1,Occasional
jdavasligil,1,1,Newcomer
jitspoe,1,2,Occasional
jkirsteins,3,3,Newcomer
joaopedroxavier,1,1,Newcomer
john-breton,0,1,Newcomer
jorgekorgut,2,2,Newcomer
jroprohehe,1,1,Newcomer
jrouwe,6,6,Occasional
jsjtxietian,1,0,Occasional
jss2a98aj,2,2,Newcomer
jtcat,1,1,Newcomer
juanjp600,7,6,Occasional
jweisberg,1,1,Newcomer
k1r4n8,1,1,Newcomer
kevinlam508,1,1,Newcomer
kilian-diener,0,2,Newcomer
kilian-hu,0,1,Newcomer
kiroxas,21,21,Newcomer
kisg,2,3,Occasional
kistz,1,1,Newcomer
kitbdev,39,32,Frequent
kj-art-dev,1,0,Newcomer
kleonc,16,15,Occasional
kojurohan42,2,2,Newcomer
koolaidxk1d,1,1,Newcomer
krishnabm,1,1,Newcomer
krm01,1,1,Newcomer
kroketio,1,1,Occasional
kthang55,1,1,Occasional
ktxyz,3,3,Occasional
kuruk-mm,1,1,Occasional
lalitshankarch,3,2,Occasional
lander-vr,9,9,Occasional
larspet,11,11,Occasional
laspencer91,1,0,Occasional
lavishbehemoth,1,1,Newcomer
lawnjelly,26,81,Frequent
lazarosY,0,1,Newcomer
leandro-benedet-garcia,3,3,Newcomer
limbonaut,8,7,Occasional
limuy2022,1,1,Newcomer
lodetrick,23,26,Newcomer
loganapple,1,0,Newcomer
lrahmann,1,1,Newcomer
lumiscosity,2,1,Newcomer
lyuma,6,6,Occasional
m-pranav-r,2,2,Newcomer
m4gr3d,55,55,Frequent
m4rr5,1,1,Occasional
macedocodigo,1,0,Occasional
maidopi-usagi,3,2,Occasional
marcelovbcfilho,1,1,Newcomer
marcgpuig,1,1,Occasional
marcosc90,6,6,Newcomer
markdibarry,4,4,Occasional
markeel,1,0,Occasional
mashumafi,2,1,Occasional
mason1920,0,1,Newcomer
mateuseap,3,3,Occasional
matheusmdx,3,3,Occasional
matmas,2,2,Newcomer
matorin57,1,0,Occasional
matthewestopinal,1,0,Occasional
maunvz,1,0,Occasional
max99x,1,1,Newcomer
maxpiepenbrink,3,3,Newcomer
mayoff,0,1,Newcomer
mbucchia,1,1,Newcomer
mcdubhghlas,1,1,Newcomer
mdelorme,3,3,Newcomer
mechalynx,2,1,Newcomer
metakunt,1,1,Newcomer
mh114,1,1,Newcomer
mhilbrunner,3,3,Occasional
mieko,2,2,Newcomer
mihe,63,63,Frequent
mikest,1,1,Newcomer
miv391,3,2,Occasional
mobile-bungalow,1,0,Occasional
moluopro,1,1,Newcomer
monxa,2,2,Occasional
mooflu,3,3,Newcomer
mrjustaguy,1,0,Occasional
mrsaturnsan,5,4,Newcomer
nathanhoad,2,2,Occasional
neonmoe,1,1,Newcomer
nikitalita,12,13,Occasional
nklbdev,2,2,Occasional
nobbele,1,1,Occasional
nocommentsgood,1,1,Newcomer
noidexe,2,1,Occasional
nongvantinh,2,0,Occasional
ntlblpm,1,1,Newcomer
nukethebees,1,1,Newcomer
ogapo,2,2,Occasional
olanti-p,1,1,Newcomer
orange-anvil-games,1,1,Newcomer
oxeron,1,1,Newcomer
paddy-exe,5,5,Occasional
pafuent,17,10,Occasional
pandinocoder,1,1,Newcomer
passivestar,15,14,Occasional
patwork,2,2,Occasional
paulloz,3,2,Occasional
penninghlhd,1,0,Newcomer
peterdang1502,2,2,Newcomer
pgrit,1,1,Newcomer
picoxr,1,1,Newcomer
piiertho,1,1,Occasional
pippenpaddleopsicopolis,10,11,Newcomer
pkowal1982,1,0,Occasional
precup,13,15,Newcomer
preslavnpetrov,1,1,Occasional
priahoud,1,0,Occasional
protam12,1,1,Newcomer
r3square,1,1,Newcomer
radiantgurl,1,0,Occasional
rarysson,1,0,Occasional
raulsntos,31,33,Frequent
rbaker87,1,1,Newcomer
rburing,8,8,Occasional
reach-satori,0,1,Occasional
rebca-online,1,1,Newcomer
reduz,7,3,Occasional
retrotails,4,4,Newcomer
rptfrg,1,0,Occasional
rsanchezsaez,4,3,Newcomer
rsubtil,7,3,Occasional
rt9391,1,1,Newcomer
rune-scape,8,4,Occasional
runzh-crypto,2,2,Newcomer
rxlecky,1,0,Occasional
ryanbraganza,1,0,Occasional
ryevdokimov,40,37,Frequent
sakubou,2,2,Newcomer
salianifo,1,1,Occasional
scgm0,7,7,Occasional
shadow-foss,1,1,Newcomer
shahriarlabib000,5,4,Occasional
shana,3,3,Occasional
shiena,8,10,Newcomer
shitake2333,1,1,Newcomer
shoonee,0,1,Newcomer
sievaxx,1,1,Occasional
simpkins,7,6,Newcomer
skyace65,3,3,Occasional
smix8,66,65,Frequent
snyk-bot,1,0,Newcomer
sockeye-d,1,1,Newcomer
solidpixel,1,1,Newcomer
sorascode,1,1,Occasional
spoxii,4,4,Newcomer
squidgyberries,1,1,Newcomer
stdmnpkg,2,1,Newcomer
stijn-h,3,2,Occasional
stuartcarnie,68,68,Frequent
suhankins,1,1,Newcomer
syntaxerror247,92,86,Frequent
tdaven,4,3,Occasional
teatov,1,1,Newcomer
tehKaiN,3,3,Newcomer
tetrapod00,21,16,Frequent
the-loki,1,1,Newcomer
thederickff,1,1,Newcomer
thedinosoar,1,1,Newcomer
thiagola92,1,1,Occasional
thimenesup,2,1,Occasional
thygrrr,1,1,Occasional
timkrief,1,1,Newcomer
timoschwarzer,5,5,Occasional
timothyqiu,135,134,Frequent
tom-schultz,1,1,Newcomer
tomfull123,1,1,Newcomer
tomsterBG,1,1,Newcomer
touilleMan,2,1,Occasional
tracefree,4,2,Occasional
ttencate,7,2,Occasional
tvenclovas96,1,1,Newcomer
twrightsman,2,4,Occasional
tygyh,1,2,Newcomer
uno1982,2,2,Newcomer
unvermuthet,2,2,Newcomer
vPumpking,2,1,Occasional
van800,6,5,Occasional
vaner-org,10,13,Newcomer
vgezer,1,1,Occasional
vmedea,2,2,Occasional
vnen,3,2,Occasional
voylin,2,2,Occasional
